Date,MSFT,ABEV,AMD,AAPL,UBER,FB,TWTR,NFLX,SNAP,NVDA
2021-01-04,215.43,2.86,92.3,128.45,51.14,268.94,54.53,522.86,49.59,131.0
2021-01-05,215.64,2.93,92.77,130.04,54.01,270.97,53.88,520.8,50.31,133.91
2021-01-06,210.05,2.94,90.33,125.66,52.48,263.31,53.26,500.49,49.82,126.01
2021-01-07,216.03,2.86,95.16,129.95,56.13,268.74,52.33,508.89,52.44,133.3
2021-01-08,217.34,2.94,94.58,131.07,53.28,267.57,51.48,510.4,52.73,132.63
2021-01-11,215.24,2.83,97.25,128.03,54.59,256.84,48.18,499.1,54.38,136.07
2021-01-12,212.7,3.05,95.36,127.85,58.54,251.09,47.04,494.25,56.45,134.71
2021-01-13,214.1,2.95,91.78,129.92,59.4,251.64,47.22,507.79,53.43,135.18
2021-01-14,210.81,3.06,90.79,127.96,56.91,245.64,45.79,500.86,49.03,131.86
2021-01-15,210.45,2.93,88.21,126.2,55.52,251.36,45.18,497.98,50.31,128.46
2021-01-19,214.2,2.95,89.45,126.89,56.3,261.1,45.93,501.77,50.39,130.12
2021-01-20,222.02,2.92,88.75,131.05,56.38,267.48,47.6,586.34,52.2,133.52
2021-01-21,222.64,2.83,91.53,135.86,55.79,272.87,47.12,579.84,54.4,138.53
2021-01-22,223.61,2.69,92.79,138.04,54.31,274.5,48.06,565.17,53.57,136.98
2021-01-25,227.15,2.74,94.13,141.86,54.29,278.01,47.84,556.78,53.65,136.39
2021-01-26,229.92,2.79,94.71,142.1,51.92,282.05,49.67,561.93,53.29,134.21
2021-01-27,230.49,2.75,88.84,141.01,48.11,272.14,48.19,523.28,48.95,129.04
2021-01-28,236.45,2.79,87.52,136.08,51.58,265.0,51.57,538.6,53.13,130.37
2021-01-29,229.56,2.68,85.64,130.98,50.93,258.33,50.53,532.39,52.94,129.76
2021-02-01,237.17,2.79,87.66,133.15,52.76,262.01,52.66,539.04,56.85,132.23
2021-02-02,237.03,2.81,88.86,133.99,56.46,267.08,54.0,548.16,58.87,135.43
2021-02-03,240.48,2.85,87.89,132.95,57.12,266.65,54.58,539.45,59.26,135.16
2021-02-04,239.5,2.8,87.84,136.37,57.85,266.49,56.51,552.16,58.31,136.5
2021-02-05,239.69,2.81,87.9,135.95,58.58,268.1,56.78,550.79,63.64,135.77
2021-02-08,239.96,2.72,91.47,136.1,59.29,266.58,58.2,547.92,63.78,144.24
2021-02-09,241.24,2.7,90.91,135.21,59.61,269.45,59.87,559.07,62.8,142.48
2021-02-10,240.3,2.72,92.35,134.59,63.18,271.87,67.77,563.59,62.6,147.49
2021-02-11,241.96,2.72,92.66,134.33,60.71,270.39,68.56,557.59,62.23,152.35
2021-02-12,242.45,2.68,93.77,134.57,60.63,270.5,71.9,556.52,61.97,149.46
2021-02-16,241.18,2.77,91.46,132.4,60.52,273.97,73.96,557.28,62.81,153.14
2021-02-17,242.23,2.76,89.94,130.07,60.81,273.57,71.79,551.34,62.72,148.9
2021-02-18,241.82,2.65,88.64,128.94,59.0,269.39,72.26,548.22,62.87,148.14
2021-02-19,239.02,2.7,89.58,129.1,58.39,261.56,72.28,540.22,65.52,149.11
2021-02-22,232.62,2.6,85.37,125.26,55.31,260.33,70.49,533.78,63.41,143.41
2021-02-23,231.39,2.65,84.74,125.12,56.0,265.86,73.17,546.15,70.45,141.27
2021-02-24,232.65,2.63,86.94,124.61,53.91,264.31,71.92,553.41,69.47,144.84
2021-02-25,227.14,2.52,82.42,120.28,51.45,254.69,74.59,546.7,63.26,132.94
2021-02-26,230.5,2.45,84.51,120.54,51.75,257.62,77.06,538.85,65.66,137.0
2021-03-01,235.03,2.4,86.39,127.03,54.4,264.91,77.63,550.64,66.67,138.27
2021-03-02,231.98,2.42,84.13,124.38,54.65,259.0,73.67,547.82,64.51,133.92
2021-03-03,225.72,2.45,80.86,121.34,56.11,255.41,70.86,520.7,60.02,127.91
2021-03-04,224.9,2.56,77.75,119.42,53.07,257.64,66.75,511.29,57.71,123.57
2021-03-05,229.73,2.61,78.52,120.7,55.54,264.28,66.95,516.39,57.43,124.49
2021-03-08,225.55,2.46,73.96,115.67,53.2,255.31,63.48,493.33,52.89,115.81
2021-03-09,231.89,2.54,78.53,120.37,55.25,265.74,67.52,506.44,56.3,125.12
2021-03-10,230.54,2.61,77.52,119.27,57.68,264.9,64.83,504.54,55.07,124.6
2021-03-11,235.21,2.64,81.23,121.24,58.95,273.88,68.46,523.06,59.62,129.84
2021-03-12,233.85,2.64,81.05,120.31,60.35,268.4,68.1,518.02,62.69,128.47
2021-03-15,232.91,2.63,82.5,123.26,60.19,273.75,70.28,520.25,63.74,131.82
2021-03-16,235.79,2.61,82.75,124.83,58.85,279.28,69.25,524.03,62.23,132.82
2021-03-17,235.12,2.68,82.63,124.02,56.36,284.01,70.2,524.44,63.95,133.32
2021-03-18,228.86,2.65,78.12,119.82,55.69,278.62,66.72,504.79,58.49,127.14
2021-03-19,228.49,2.76,79.06,119.28,57.08,290.11,66.23,512.18,58.36,128.37
2021-03-22,234.08,2.77,80.3,122.66,55.69,293.54,65.21,523.11,58.16,131.77
2021-03-23,235.66,2.66,78.38,121.82,53.49,290.63,64.27,535.09,55.26,130.62
2021-03-24,233.56,2.57,76.48,119.38,52.57,282.14,62.06,520.81,50.51,126.34
2021-03-25,230.46,2.58,76.22,119.88,53.89,278.74,61.2,502.86,51.41,125.27
2021-03-26,234.57,2.58,77.41,120.49,54.71,283.02,61.26,508.05,51.6,128.3
2021-03-29,233.34,2.6,77.14,120.67,53.35,290.82,62.94,513.95,49.57,129.39
2021-03-30,229.98,2.63,76.0,119.19,53.46,288.0,62.99,513.39,49.61,128.63
2021-03-31,233.87,2.63,78.5,121.43,54.51,294.53,63.63,521.66,52.29,133.39
2021-04-01,240.39,2.57,81.09,122.27,57.6,298.66,63.83,539.42,54.49,138.02
2021-04-05,247.06,2.62,81.43,125.16,57.4,308.91,64.24,540.67,54.11,139.78
2021-04-06,245.86,2.65,81.44,125.46,58.05,306.26,67.0,544.53,56.88,138.52
2021-04-07,247.88,2.62,82.2,127.14,56.89,313.09,68.99,546.99,60.23,141.34
2021-04-08,251.2,2.7,83.35,129.59,57.83,313.02,71.22,554.58,63.2,143.07
2021-04-09,253.78,2.66,82.76,132.21,57.68,312.46,71.19,555.31,63.27,143.9
2021-04-12,253.84,2.63,78.58,130.46,59.44,311.54,70.86,552.78,62.44,151.98
2021-04-13,256.4,2.66,80.19,133.64,60.64,309.76,72.45,553.73,62.44,156.69
2021-04-14,253.52,2.71,78.55,131.25,59.23,302.82,69.74,540.02,62.01,152.66
2021-04-15,257.4,2.74,83.01,133.71,60.74,307.82,71.71,549.22,63.89,161.26
